User_ID,Is_Response
id80132,not happy
id80133,happy
id80134,happy
id80135,not happy
id80136,happy
id80137,happy
id80138,not happy
id80139,not happy
id80140,happy
id80141,happy
id80142,happy
id80143,happy
id80144,not happy
id80145,happy
id80146,happy
id80147,not happy
id80148,not happy
id80149,happy
id80150,not happy
id80151,not happy
id80152,not happy
id80153,happy
id80154,happy
id80155,not happy
id80156,not happy
id80157,happy
id80158,happy
id80159,not happy
id80160,happy
id80161,not happy
id80162,happy
id80163,happy
id80164,not happy
id80165,not happy
id80166,happy
id80167,happy
id80168,not happy
id80169,happy
id80170,happy
id80171,happy
id80172,happy
id80173,happy
id80174,not happy
id80175,happy
id80176,not happy
id80177,happy
id80178,not happy
id80179,happy
id80180,happy
id80181,happy
id80182,not happy
id80183,happy
id80184,happy
id80185,not happy
id80186,happy
id80187,happy
id80188,not happy
id80189,happy
id80190,happy
id80191,happy
id80192,happy
id80193,happy
id80194,happy
id80195,not happy
id80196,not happy
id80197,happy
id80198,happy
id80199,not happy
id80200,happy
id80201,not happy
id80202,happy
id80203,not happy
id80204,happy
id80205,happy
id80206,not happy
id80207,happy
id80208,happy
id80209,happy
id80210,not happy
id80211,not happy
id80212,not happy
id80213,not happy
id80214,happy
id80215,happy
id80216,happy
id80217,happy
id80218,not happy
id80219,happy
id80220,happy
id80221,not happy
id80222,happy
id80223,not happy
id80224,happy
id80225,happy
id80226,happy
id80227,happy
id80228,happy
id80229,happy
id80230,not happy
id80231,happy
id80232,not happy
id80233,happy
id80234,not happy
id80235,happy
id80236,happy
id80237,not happy
id80238,happy
id80239,happy
id80240,not happy
id80241,happy
id80242,not happy
id80243,happy
id80244,not happy
id80245,happy
id80246,not happy
id80247,not happy
id80248,happy
id80249,happy
id80250,happy
id80251,happy
id80252,happy
id80253,not happy
id80254,happy
id80255,happy
id80256,not happy
id80257,happy
id80258,happy
id80259,happy
id80260,happy
id80261,happy
id80262,not happy
id80263,not happy
id80264,happy
id80265,happy
id80266,happy
id80267,happy
id80268,happy
id80269,happy
id80270,happy
id80271,happy
id80272,not happy
id80273,happy
id80274,not happy
id80275,happy
id80276,not happy
id80277,happy
id80278,happy
id80279,happy
id80280,happy
id80281,happy
id80282,happy
id80283,happy
id80284,happy
id80285,happy
id80286,happy
id80287,happy
id80288,happy
id80289,happy
id80290,happy
id80291,not happy
id80292,not happy
id80293,happy
id80294,happy
id80295,happy
id80296,happy
id80297,happy
id80298,not happy
id80299,happy
id80300,happy
id80301,happy
id80302,happy
id80303,happy
id80304,happy
id80305,happy
id80306,not happy
id80307,not happy
id80308,happy
id80309,not happy
id80310,happy
id80311,happy
id80312,not happy
id80313,not happy
id80314,happy
id80315,happy
id80316,happy
id80317,happy
id80318,not happy
id80319,happy
id80320,happy
id80321,happy
id80322,happy
id80323,not happy
id80324,happy
id80325,not happy
id80326,not happy
id80327,not happy
id80328,not happy
id80329,happy
id80330,not happy
id80331,not happy
id80332,happy
id80333,happy
id80334,not happy
id80335,happy
id80336,not happy
id80337,happy
id80338,not happy
id80339,not happy
id80340,happy
id80341,not happy
id80342,not happy
id80343,not happy
id80344,happy
id80345,not happy
id80346,happy
id80347,happy
id80348,happy
id80349,happy
id80350,not happy
id80351,not happy
id80352,happy
id80353,not happy
id80354,happy
id80355,not happy
id80356,not happy
id80357,happy
id80358,not happy
id80359,happy
id80360,happy
id80361,not happy
id80362,happy
id80363,not happy
id80364,not happy
id80365,happy
id80366,not happy
id80367,happy
id80368,not happy
id80369,happy
id80370,not happy
id80371,not happy
id80372,happy
id80373,not happy
id80374,happy
id80375,not happy
id80376,happy
id80377,happy
id80378,happy
id80379,not happy
id80380,happy
id80381,not happy
id80382,happy
id80383,not happy
id80384,happy
id80385,not happy
id80386,happy
id80387,not happy
id80388,happy
id80389,happy
id80390,happy
id80391,happy
id80392,happy
id80393,happy
id80394,not happy
id80395,not happy
id80396,not happy
id80397,happy
id80398,happy
id80399,happy
id80400,not happy
id80401,not happy
id80402,happy
id80403,not happy
id80404,happy
id80405,not happy
id80406,happy
id80407,not happy
id80408,happy
id80409,not happy
id80410,not happy
id80411,not happy
id80412,not happy
id80413,happy
id80414,not happy
id80415,happy
id80416,not happy
id80417,happy
id80418,not happy
id80419,happy
id80420,happy
id80421,happy
id80422,happy
id80423,not happy
id80424,happy
id80425,not happy
id80426,happy
id80427,happy
id80428,happy
id80429,not happy
id80430,not happy
id80431,happy
id80432,happy
id80433,happy
id80434,not happy
id80435,happy
id80436,not happy
id80437,not happy
id80438,happy
id80439,happy
id80440,happy
id80441,happy
id80442,happy
id80443,happy
id80444,not happy
id80445,happy
id80446,not happy
id80447,not happy
id80448,happy
id80449,happy
id80450,happy
id80451,not happy
id80452,happy
id80453,happy
id80454,happy
id80455,not happy
id80456,happy
id80457,happy
id80458,happy
id80459,not happy
id80460,not happy
id80461,not happy
id80462,happy
id80463,happy
id80464,happy
id80465,happy
id80466,happy
id80467,happy
id80468,not happy
id80469,happy
id80470,not happy
id80471,happy
id80472,happy
id80473,not happy
id80474,happy
id80475,happy
id80476,not happy
id80477,happy
id80478,happy
id80479,not happy
id80480,happy
id80481,happy
id80482,happy
id80483,happy
id80484,happy
id80485,happy
id80486,happy
id80487,happy
id80488,happy
id80489,not happy
id80490,happy
id80491,not happy
id80492,happy
id80493,happy
id80494,happy
id80495,not happy
id80496,happy
id80497,happy
id80498,happy
id80499,not happy
id80500,happy
id80501,not happy
id80502,not happy
id80503,happy
id80504,happy
id80505,happy
id80506,not happy
id80507,happy
id80508,happy
id80509,happy
id80510,not happy
id80511,not happy
id80512,happy
id80513,not happy
id80514,happy
id80515,happy
id80516,not happy
id80517,happy
id80518,not happy
id80519,happy
id80520,not happy
id80521,happy
id80522,happy
id80523,not happy
id80524,happy
id80525,happy
id80526,happy
id80527,happy
id80528,happy
id80529,not happy
id80530,not happy
id80531,not happy
id80532,happy
id80533,happy
id80534,happy
id80535,not happy
id80536,not happy
id80537,happy
id80538,not happy
id80539,happy
id80540,not happy
id80541,not happy
id80542,happy
id80543,not happy
id80544,happy
id80545,happy
id80546,not happy
id80547,happy
id80548,not happy
id80549,happy
id80550,not happy
id80551,not happy
id80552,happy
id80553,happy
id80554,not happy
id80555,not happy
id80556,happy
id80557,not happy
id80558,happy
id80559,happy
id80560,happy
id80561,not happy
id80562,happy
id80563,not happy
id80564,not happy
id80565,not happy
id80566,happy
id80567,not happy
id80568,not happy
id80569,happy
id80570,happy
id80571,happy
id80572,not happy
id80573,happy
id80574,happy
id80575,not happy
id80576,not happy
id80577,not happy
id80578,happy
id80579,not happy
id80580,not happy
id80581,happy
id80582,happy
id80583,happy
id80584,not happy
id80585,happy
id80586,not happy
id80587,not happy
id80588,happy
id80589,not happy
id80590,not happy
id80591,happy
id80592,happy
id80593,not happy
id80594,happy
id80595,happy
id80596,happy
id80597,happy
id80598,happy
id80599,not happy
id80600,happy
id80601,not happy
id80602,not happy
id80603,happy
id80604,not happy
id80605,happy
id80606,happy
id80607,happy
id80608,happy
id80609,not happy
id80610,not happy
id80611,not happy
id80612,happy
id80613,happy
id80614,happy
id80615,not happy
id80616,not happy
id80617,not happy
id80618,happy
id80619,not happy
id80620,happy
id80621,happy
id80622,not happy
id80623,happy
id80624,happy
id80625,happy
id80626,happy
id80627,happy
id80628,happy
id80629,not happy
id80630,happy
id80631,happy
id80632,not happy
id80633,not happy
id80634,happy
id80635,not happy
id80636,happy
id80637,happy
id80638,not happy
id80639,happy
id80640,not happy
id80641,not happy
id80642,not happy
id80643,not happy
id80644,happy
id80645,happy
id80646,happy
id80647,happy
id80648,happy
id80649,not happy
id80650,happy
id80651,happy
id80652,happy
id80653,not happy
id80654,not happy
id80655,not happy
id80656,happy
id80657,happy
id80658,not happy
id80659,happy
id80660,not happy
id80661,happy
id80662,happy
id80663,not happy
id80664,happy
id80665,not happy
id80666,not happy
id80667,happy
id80668,happy
id80669,happy
id80670,happy
id80671,happy
id80672,not happy
id80673,happy
id80674,happy
id80675,happy
id80676,happy
id80677,happy
id80678,happy
id80679,happy
id80680,not happy
id80681,happy
id80682,happy
id80683,happy
id80684,happy
id80685,not happy
id80686,happy
id80687,happy
id80688,happy
id80689,not happy
id80690,happy
id80691,not happy
id80692,not happy
id80693,happy
id80694,happy
id80695,happy
id80696,not happy
id80697,happy
id80698,not happy
id80699,not happy
id80700,happy
id80701,happy
id80702,happy
id80703,not happy
id80704,not happy
id80705,not happy
id80706,happy
id80707,happy
id80708,not happy
id80709,not happy
id80710,happy
id80711,happy
id80712,happy
id80713,happy
id80714,happy
id80715,happy
id80716,not happy
id80717,not happy
id80718,happy
id80719,happy
id80720,happy
id80721,happy
id80722,happy
id80723,not happy
id80724,not happy
id80725,not happy
id80726,happy
id80727,not happy
id80728,not happy
id80729,not happy
id80730,not happy
id80731,happy
id80732,happy
id80733,happy
id80734,not happy
id80735,happy
id80736,not happy
id80737,not happy
id80738,happy
id80739,happy
id80740,happy
id80741,happy
id80742,not happy
id80743,happy
id80744,happy
id80745,happy
id80746,happy
id80747,happy
id80748,happy
id80749,not happy
id80750,happy
id80751,happy
id80752,happy
id80753,not happy
id80754,not happy
id80755,happy
id80756,happy
id80757,happy
id80758,happy
id80759,happy
id80760,happy
id80761,happy
id80762,happy
id80763,happy
id80764,happy
id80765,happy
id80766,not happy
id80767,happy
id80768,not happy
id80769,happy
id80770,not happy
id80771,not happy
id80772,happy
id80773,happy
id80774,not happy
id80775,not happy
id80776,not happy
id80777,not happy
id80778,not happy
id80779,happy
id80780,not happy
id80781,not happy
id80782,not happy
id80783,not happy
id80784,happy
id80785,happy
id80786,happy
id80787,happy
id80788,happy
id80789,not happy
id80790,not happy
id80791,happy
id80792,happy
id80793,not happy
id80794,happy
id80795,not happy
id80796,not happy
id80797,happy
id80798,happy
id80799,not happy
id80800,not happy
id80801,not happy
id80802,happy
id80803,not happy
id80804,happy
id80805,happy
id80806,happy
id80807,happy
id80808,happy
id80809,happy
id80810,happy
id80811,not happy
id80812,not happy
id80813,happy
id80814,not happy
id80815,not happy
id80816,happy
id80817,happy
id80818,happy
id80819,happy
id80820,not happy
id80821,happy
id80822,not happy
id80823,happy
id80824,not happy
id80825,not happy
id80826,not happy
id80827,happy
id80828,happy
id80829,happy
id80830,happy
id80831,happy
id80832,happy
id80833,not happy
id80834,not happy
id80835,happy
id80836,not happy
id80837,happy
id80838,happy
id80839,happy
id80840,happy
id80841,happy
id80842,happy
id80843,happy
id80844,happy
id80845,not happy
id80846,not happy
id80847,not happy
id80848,happy
id80849,happy
id80850,happy
id80851,not happy
id80852,not happy
id80853,happy
id80854,happy
id80855,happy
id80856,not happy
id80857,happy
id80858,not happy
id80859,happy
id80860,not happy
id80861,not happy
id80862,happy
id80863,not happy
id80864,not happy
id80865,not happy
id80866,not happy
id80867,happy
id80868,happy
id80869,not happy
id80870,happy
id80871,happy
id80872,happy
id80873,not happy
id80874,happy
id80875,not happy
id80876,happy
id80877,happy
id80878,not happy
id80879,happy
id80880,happy
id80881,happy
id80882,happy
id80883,happy
id80884,happy
id80885,happy
id80886,happy
id80887,not happy
id80888,happy
id80889,not happy
id80890,happy
id80891,not happy
id80892,happy
id80893,not happy
id80894,happy
id80895,happy
id80896,happy
id80897,happy
id80898,happy
id80899,happy
id80900,happy
id80901,not happy
id80902,happy
id80903,happy
id80904,happy
id80905,happy
id80906,not happy
id80907,happy
id80908,not happy
id80909,happy
id80910,happy
id80911,happy
id80912,happy
id80913,not happy
id80914,happy
id80915,not happy
id80916,happy
id80917,happy
id80918,happy
id80919,not happy
id80920,not happy
id80921,happy
id80922,not happy
id80923,not happy
id80924,happy
id80925,happy
id80926,happy
id80927,happy
id80928,not happy
id80929,happy
id80930,happy
id80931,happy
id80932,not happy
id80933,happy
id80934,happy
id80935,not happy
id80936,not happy
id80937,not happy
id80938,happy
id80939,happy
id80940,not happy
id80941,happy
id80942,happy
id80943,happy
id80944,happy
id80945,happy
id80946,happy
id80947,happy
id80948,happy
id80949,happy
id80950,not happy
id80951,happy
id80952,not happy
id80953,happy
id80954,happy
id80955,happy
id80956,happy
id80957,happy
id80958,happy
id80959,not happy
id80960,not happy
id80961,happy
id80962,not happy
id80963,happy
id80964,not happy
id80965,happy
id80966,happy
id80967,happy
id80968,happy
id80969,happy
id80970,not happy
id80971,not happy
id80972,not happy
id80973,not happy
id80974,happy
id80975,not happy
id80976,happy
id80977,not happy
id80978,not happy
id80979,happy
id80980,not happy
id80981,not happy
id80982,happy
id80983,not happy
id80984,not happy
id80985,happy
id80986,happy
id80987,happy
id80988,happy
id80989,happy
id80990,not happy
id80991,not happy
id80992,happy
id80993,happy
id80994,happy
id80995,happy
id80996,not happy
id80997,happy
id80998,happy
id80999,happy
id81000,happy
id81001,happy
id81002,happy
id81003,happy
id81004,not happy
id81005,not happy
id81006,happy
id81007,not happy
id81008,happy
id81009,happy
id81010,happy
id81011,not happy
id81012,not happy
id81013,not happy
id81014,happy
id81015,not happy
id81016,not happy
id81017,happy
id81018,happy
id81019,happy
id81020,not happy
id81021,happy
id81022,not happy
id81023,happy
id81024,not happy
id81025,not happy
id81026,happy
id81027,not happy
id81028,happy
id81029,not happy
id81030,happy
id81031,happy
id81032,not happy
id81033,happy
id81034,not happy
id81035,happy
id81036,happy
id81037,happy
id81038,happy
id81039,happy
id81040,happy
id81041,happy
id81042,not happy
id81043,not happy
id81044,happy
id81045,happy
id81046,happy
id81047,not happy
id81048,happy
id81049,happy
id81050,happy
id81051,happy
id81052,not happy
id81053,not happy
id81054,not happy
id81055,happy
id81056,not happy
id81057,happy
id81058,not happy
id81059,happy
id81060,happy
id81061,happy
id81062,not happy
id81063,happy
id81064,happy
id81065,not happy
id81066,happy
id81067,happy
id81068,happy
id81069,happy
id81070,not happy
id81071,not happy
id81072,happy
id81073,happy
id81074,happy
id81075,not happy
id81076,not happy
id81077,not happy
id81078,happy
id81079,not happy
id81080,happy
id81081,happy
id81082,not happy
id81083,happy
id81084,happy
id81085,happy
id81086,happy
id81087,happy
id81088,happy
id81089,happy
id81090,happy
id81091,happy
id81092,happy
id81093,happy
id81094,not happy
id81095,not happy
id81096,happy
id81097,happy
id81098,happy
id81099,not happy
id81100,happy
id81101,happy
id81102,happy
id81103,happy
id81104,happy
id81105,happy
id81106,happy
id81107,happy
id81108,not happy
id81109,happy
id81110,happy
id81111,not happy
id81112,not happy
id81113,happy
id81114,not happy
id81115,not happy
id81116,not happy
id81117,not happy
id81118,happy
id81119,not happy
id81120,not happy
id81121,not happy
id81122,not happy
id81123,happy
id81124,not happy
id81125,not happy
id81126,not happy
id81127,happy
id81128,happy
id81129,not happy
id81130,not happy
id81131,happy
id81132,happy
id81133,not happy
id81134,happy
id81135,not happy
id81136,not happy
id81137,not happy
id81138,not happy
id81139,not happy
id81140,not happy
id81141,not happy
id81142,not happy
id81143,happy
id81144,happy
id81145,not happy
id81146,not happy
id81147,happy
id81148,happy
id81149,happy
id81150,happy
id81151,happy
id81152,happy
id81153,happy
id81154,not happy
id81155,happy
id81156,not happy
id81157,not happy
id81158,not happy
id81159,happy
id81160,happy
id81161,not happy
id81162,happy
id81163,not happy
